09AmQ,6k1/1p2ppbp/6p1/1P3qn1/1Q1B4/5P2/PPr3PP/R2R2K1 w - - 1 29,d4g7 c2g2 g1h1 g2c2 b4b3 g5f3 b3c2 f5c2,2621,96,59,82,crushing middlegame veryLong,https://lichess.org/xtCpAh9N#57
09C7E,8/8/1p2K1k1/p2R4/P4p2/1P3Pbp/8/8 w - - 0 61,d5d1 h3h2 e6e5 g6g5 d1d8 g3e1 d8g8 g5h4 g8h8 h4g3,2647,92,78,193,advancedPawn crushing defensiveMove endgame master masterVsMaster quietMove veryLong,https://lichess.org/KYZhN28F#121
09DMC,r1bqk2r/ppp2ppp/2np4/2b3B1/4n3/1NN5/PPP2PPP/R2QKB1R w KQkq - 0 8,g5d8 c5f2 e1e2 c8g4 e2d3 c6e5 d3e4 f7f5 e4d5 a8d8,2670,93,91,1239,attackingF2F7 crushing opening sacrifice veryLong,https://lichess.org/alSuOmEu#15
09Ebl,8/3Q2pk/pq1p1r1p/1p6/1pn1N3/7P/P2r1PP1/2R2RK1 b - - 9 35,f6f4 e4d2 c4d2 c1c6 b6c6 d7c6,2696,93,81,125,advantage long middlegame,https://lichess.org/NNoGTexy/black#70
09Gxy,6k1/2p3pp/3b1r2/Pp1pNbq1/1p1Pp3/1P2P3/2Q2PB1/R1R4K w - - 2 30,c2e2 d6e5 d4e5 f6g6 e2f1 g5h5 h1g1 f5h3,2771,112,89,163,crushing exposedKing middlegame quietMove veryLong,https://lichess.org/ZvEo9JHm#59
09IOT,r2q1rk1/2p2pp1/7p/p1b1pN2/4P1b1/2pP1N2/P1Q2P2/R1B1K1R1 b Q - 0 20,g4f3 g1g7 g8h8 g7g3 f8g8 g3f3,2750,101,76,221,crushing long master middlegame,https://lichess.org/poCcO2xP/black#40
09KrT,8/p7/P7/2p2K1P/6N1/2k3P1/3r4/8 b - - 0 48,c3b2 h5h6 d2d8 h6h7 c5c4 g4e3 c4c3 g3g4 d8f8 f5g6,2667,93,84,74,advancedPawn crushing defensiveMove endgame quietMove veryLong,https://lichess.org/VtcS2LrJ/black#96
09Lco,1krq1b1N/1p1b1Qpp/5n2/4p1N1/3n4/8/PPPP1PPP/R1B2RK1 w - - 5 18,c2c3 d4e2 g1h1 d7c6 d2d4 c6d5,2760,91,85,186,advantage long opening,https://lichess.org/MrlfCbOq#35
09QHj,N5k1/pb4pp/7q/3p2r1/2P5/4p1P1/PP5P/R2Q1R1K w - - 0 24,a8c7 d5c4 f1f3 h6f6 h1g1 b7f3,2632,106,87,729,crushing discoveredAttack long middlegame pin,https://lichess.org/ICaWOyUU#47
09TNk,r5k1/pp2rp1p/1q2p1p1/3p4/4n3/1PP2Q1P/P4PP1/R1B1R1K1 b - - 2 22,a8c8 e1e4 d5e4 f3f6 b6c5 c1e3 c5c3 e3d4 c3a1 d4a1,2688,107,92,721,advantage middlegame sacrifice veryLong,https://lichess.org/4McnhO7M/black#44
09WuH,r1b2rk1/1p3ppp/p1n5/6PN/q2pQ2P/2PB4/1P3P2/2KR3R b - - 1 19,a4a1 c1c2 a1a4 c2b1 g7g6 h5f6,2615,87,86,92,crushing defensiveMove long middlegame,https://lichess.org/2rUjqz77/black#38
09aOV,4r1k1/ppb4p/2p2Qp1/3pN3/3P1PP1/2P5/PP2qR2/6K1 b - - 6 41,e2d1 g1h2 e8f8 f6e6 g8h8 e6e7,2706,98,88,282,crushing defensiveMove endgame long,https://lichess.org/8ZyHSiL8/black#82
09b5I,r4r2/bpk2pp1/2p4p/p1N5/P1Qp2q1/2P5/1P3PP1/3RR1K1 b - - 7 22,a8d8 e1e7 c7c8 d1e1 a7c5 c4c5,2632,114,90,469,clearance crushing long middlegame quietMove,https://lichess.org/sqQu94Ye/black#44
